match,id,P11806,name,autoq,wikidata_company_name,desc,total_score,name_match_subscore,common_media_subscore,tmdb_media_count,wikidata_media_count,common_media_count
PROBABLY,9158,9158,Spring Films,Q17088846,Spring Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,17,2,2
PROBABLY,8090,8090,BBC Earth,Q17481860,BBC Earth,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,34,1,1
PROBABLY,90281,90281,FR Productions,Q25288772,FR Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
PROBABLY,255,255,Paradis Films,Q3363246,Paradis Films,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,37,2,2
PROBABLY,67089,67089,Light Chaser Animation Studios,Q13699120,Light Chaser Animation Studios,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,8,2,2
PROBABLY,9168,9168,Bad Hat Harry Productions,Q477943,Bad Hat Harry Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,23,4,4
PROBABLY,9181,9181,Art Theatre Guild,Q2864573,Art Theatre Guild,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,95,7,7
PROBABLY,65500,65500,Production IMS,Q16218225,Production IMS,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,10,8,8
PROBABLY,128976,128976,XTR,Q106856524,XTR,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,43,2,2
PROBABLY,268,268,FilmFernsehFonds Bayern,Q1290177,FilmFernsehFonds Bayern,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,32,1,1
PROBABLY,20411,20411,Sinemart,Q4264431,SinemArt,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,29,7,7
PROBABLY,47706,47706,Allison Shearmur Productions,Q24806571,Allison Shearmur Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,2,2
PROBABLY,24804,24804,51 Minds Entertainment,Q4640068,51 Minds Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,12,1,1
PROBABLY,165101,165101,SuperToons,Q20061355,SuperToons,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,2,1,1
PROBABLY,50286,50286,Broth Film,Q79618634,Broth Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,7990,7990,Cloud Nine Movies,Q5135675,Cloud Nine Movies,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,10,2,2
PROBABLY,283,283,Notting Hill Pictures,Q78343649,Notting HIll Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,7985,7985,All Yours Film,Q100658955,All Yours Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,6,1,1
PROBABLY,129069,129069,Siskel/Jacobs Productions,Q7530851,Siskel/Jacobs Productions,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,4,1,1
PROBABLY,50339,50339,Filmlink International,Q108671307,Filmlink International,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,10,2,2
PROBABLY,129131,129131,A.D. Vision,Q2293215,A.D. Vision,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,292,292,23/5 Filmproduktion,Q110899427,23/5 Filmproduktion,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,1,1
PROBABLY,90517,90517,Secret Hideout,Q96405236,Secret Hideout,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,14,1,1
PROBABLY,7967,7967,Media Factory,Q520454,Media Factory,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,68,1,1
PROBABLY,24277,24277,PalmStar Media,Q24913707,PalmStar Media,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,24,3,3
PROBABLY,165219,165219,Scott Brothers Entertainment,Q28971903,Scott Brothers Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,22,1,1
PROBABLY,7957,7957,TVC,Q401267,TVC,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,7,1,1
PROBABLY,165250,165250,PGS Entertainment,Q19644584,PGS Entertainment,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,1,1,1
PROBABLY,7941,7941,Tappeluft Pictures,Q12005220,Tappeluft Pictures,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,11,4,4
PROBABLY,87683,87683,Nederland Film,Q70708502,Nederland Film,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,2,1,1
PROBABLY,113059,113059,Filmemoker,Q1414446,Filmemoker,"total_score:1, name_match_subscore:1, common_media_subscore:1",1,1,1,3,3,3
